id,pagina,termino,ambito,nivel_rostagno,postura_oyente,cualificadores,magnitud,instrumentos_nombrados,generos_piezas,escucha_explicita,cita
38,262,saraos,profano / cortesano,símbolo,registro,,,,,,"Estuuo el de Alanson todo el inuierno en Inglaterra entretenido con su reyna, de día en ver torneos por justas de a cauallo, de noche en combites, festines y saraos"
39,263,trompetas,(otros),índice,registro,,,trompetas,,,"Juan adelante del los ti nientes de capitanes de la milicia y soldadesca de la ciudad, los aldeanos que tenían voto en la república, los trompetas y los mercaderes alemanes e 1ngleses (porque los ¡ta lanos y españoles el día antes se auían ido de la cuudad), seguíanse en orden aunque algo estendidos los magistrados y ministros públicos y oficiales de la república, los nobles y delegados de los Estados con los nobles de Brabante que yban en medio del can cellario de la provincia, y la guarda tudesca y los nobles de Francia y de Inglaterra que y auían venido con el duque de Alanson"
40,265,trompetas,sacro / litúrgico,símbolo,ponderación de magnitud,,mucho,trompetas,,,"Al contrario los” franceses assaltaron la ciudad por donde estaua más fuerte, y arrimadas las escalas subieron en vn punto al muro y degollando las centinelas tocaron las trompetas para causar mayor temor a los ciudadanos que acudieron valerosamente a la defensa, aunque los rebatieron con mucho valor los franceses, los quales después de auer rompido la puerta metieron dentro la cauallería, auiendo visto esto después de auer peleado casi vna hora se entregaron"
41,321,capilla,sacro / litúrgico,símbolo,registro,,,,,,"321]` munidades excepto aquellos que auían sido la causa y dado ocasión a la rebelión, a los de la religión reformada se les concedía dos años para que pudiesen disponer de sus haziendas y entretanto pudiessen viuir en la ciudad, que se restituiesse todo lo que se auía hurtado y quitado de la capilla real, de las casas del Granvela y de las de Mansfelt, que las imposiciones y tributos que estauan impuestos de tiempo atrás se pagassen hasta que la ciudad satisfaziesse a sus acrehedores y pagasse sus deudas, que la milicia estranjera saliesse libremente de la ciudad con condición que por espacio de tres meses no pueda tomar las armas contra el rey, y finalmente, que se pongan en libertad los cautivos"
42,332,trompeta,militar / señalético,índice,registro,,,trompeta,,,"Después desto, plantada ya la artillería contra Nuys y comencada la batería, el de Parma deseando vencerla y sujetarla sin derramar sangre, imbió vn trompeta a que supiesse de los que estauan en ella de guarnición si querían rendirse o probar la fortuna de la guerra Auían contado en los reales que se auían ya tirado contra la ciudad tres mil y ochocientas balas, por lo qual los sitiados al principio respondieron algo dudosamente y pidieron treguas y espacio para determinarse, y auiéndosele concedido se acercó el de > **[nota marginal]** El duque de Parma gana Venloo * El papa imbía al duque de Parma el sombrero y estoque bendito `[p"
43,333,trompeta,militar / señalético,índice,valoración estética,graue,"mucha, mucho",trompeta,,,"El de Parma alborotado desto grandemente, poniéndose a cauallo fue a toda priessa a los reales y reprehendió grauemente y con ásperas palabras al de Mansfeld, que era general de la artullería, diziéndole que le auía descontento mucho lo que se auía hecho contra lo assentado en las treguas, mandando a los artilleros que cessassen de disparar y a los soldados que estubiessen quietos Aquietado el alboroto imbió con vn trompeta otras condiciones por escrito a los cercados, ofreciéndoles que pidiessen salir con sus armas y banderas a donde quisiseren con mucha seguridad, y tiniendo por cierto que admitirían tan ajustadas condiciones y puestas en razón sin dificultad alguna ni controuersia"
44,333,trompeta,sacro / litúrgico,símbolo,ponderación de magnitud,,mucho,trompeta,,,"Imbió dos capitanes suyos y a Billeheo, consejero del arçobispo, a los quales mandó que esperassen a la puerta la respuesta, los quales admirándose mucho que siendo ya muy tarde ni boluía el trompeta a la hora señalada, ni se les daua respuesta alguna, preguntaron que era la causa, respondieron los cercados que el trompeta se auía ido a dormir y que porque se hacía ya tarde si ellos querían boluerse a donde auían venido lo podían hazer"
45,343,capilla,sacro / litúrgico,símbolo,registro,,,,,,"La segunda, que se diesse assiento en la capilla real a su embajador entre los demás embajadores"
46,348,trompetas,militar / señalético,índice,registro,,,trompetas,,,"Finalm[enlte, los cercados desesperados de tener socorro y viendo que cada día los enemigos amenazauan que auían de entrar en el lugar, no solo por las ruinas de las murallas sino también por las minas que auían hecho, desconfiados de poderse defender más, alcançaron honestas condiciones del de Parma, que fueron, que saliessen con vanderas desplegadas con sus armas y mechas encendidas al son de cajas y trompetas con su vagajo y haziendas y les fuesse dado passo y lleuados hasta su quartel"
47,362,capilla,sacro / litúrgico,símbolo,registro,,,,,,"Boluió “segunda vez el duque de Saboya por medio de su embajlad]or, el marqluéls de Este, a hazer instancia con su maglesta]d que a su embajlad]or se le diesse assiento en la capilla real, pero boluióse sin negociar cosa alglun]a como antes"
48,374,trompeta,militar / señalético,índice,ponderación de magnitud,,grande,trompeta,,,"Entretanto, aclarándose algo las nieblas se descubrieron las velas de las naues mayores, y los del presidio disparando vna pieza grande de artillería hizieron señal a los ciudadanos y el que estaua de centinela en la torre de san Esteuan tocando al arma la trompeta auisó de la venida del enemigo"
49,378,trompetas,(otros),índice,registro,,,trompetas,,,"que pudiessen salir con vanderas desplegadas, cuerdas encendidas, al son de cajas y trompetas con todas sus haziendas y hato, y los embarcaron en cinquenta naues y lleuaron hasta Wesel"
