id,página,difunto/evento (probable),tipo,términos,voz,1ª persona,motivo clasif.,cita / contexto
273,345,Reina (?),muerte,muerte,diario,,cuerpo del diario,"de la muerte de la reina de Polonia, Catalina de Austria"
274,345,Reina (?),muerte,fallecimiento,diario,sí,cuerpo del diario,"fallecimiento en Linz de Catalina, reina de Polonia"
275,346,Papa/Pontífice,muerte,fallecido,diario,,cuerpo del diario,fallecido en Roma el 1 de mayo
276,346,Papa/Pontífice,muerte,fallecido,diario,,cuerpo del diario,"Mucho y justamente alabo la memoria del citado papa fallecido, pues en el año 1566 y por orden de S"
277,348,Archiduque/esa,muerte,falleció,diario,,cuerpo del diario,El 7 de julio falleció el rey Segismundo de Polonia
278,348,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,el niño falleció poco después
279,349,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,"El 19 falleció la duquesa Bárbara de Ferrara, Dios conceda a su alma"
280,350,Archiduque/esa,muerte,muerte,diario,,cuerpo del diario,[vacante] tras la muerte del conde Francisco de Thurn
281,351,Emperador/triz (?),muerte,murió,diario,sí,cuerpo del diario,"y honesto servidor Miguel Strauss, que murió el 1 de este mes"
282,353,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,a su larga enfermedad y falleció cristianamente en Klagenfurt
283,355,Emperatriz María (†1603),muerte,fallecido,diario,,cuerpo del diario,después se supo que el 7 de ese mes había fallecido en El Escorial la
284,355,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Desde Madrid se mandó la triste noticia «Al embajador en Alemania avisándole de la muerte
285,361,Emperatriz María (†1603),muerte,murió,diario,sí,cuerpo del diario,"Que Dios conceda a su alma una feliz resurrección, pues solo dejó una única hija pequeña, que también murió después"
286,361,Emperatriz María (†1603),muerte,fallecido,diario,sí,cuerpo del diario,que las cuestiones del rey fallecido no podían tener
287,361,Reina (?),ceremonia,pésame,diario,sí,cuerpo del diario,El 1 de junio envié un pésame a la
288,361,Reina (?),muerte,fallecimiento,diario,sí,cuerpo del diario,"reina de Francia por el fallecimiento de su marido, y tuve audiencia con"
289,361,Reina (?),ceremonia,"fallecido, funeral",diario,,cuerpo del diario,"El 18 se celebró en Madrid en San Jerónimo el funeral por el fallecido rey de Francia en presencia del rey, la reina, todos los embajadores y"
290,361,Emperatriz María (†1603),muerte,murió,diario,sí,cuerpo del diario,"Según su estilo, quiere decir que no murió envenenado"
291,364,Emperatriz María (†1603),ceremonia,"muerte, pésame",diario,sí,cuerpo del diario,visitar al rey de Portugal para darle el pésame por la muerte de su madre
292,364,Carlos V,muerte,muerte,diario,,cuerpo del diario,Primera alusión al envío de caballos y la muerte de un sirviente en Génova
293,364,Felipe II (†1598),muerte,fallecimiento,diario,,cuerpo del diario,Otros fallecimientos
294,365,Archiduque/esa,muerte,fallecido,diario,,cuerpo del diario,decía que el joven archiduque Carlos de Cléveris había fallecido en Roma
295,366,Infante/a,muerte,murió,diario,,cuerpo del diario,la noche murió
296,366,Infante/a,ceremonia,entierro,diario,,cuerpo del diario,Poco después el obispo de Sigüenza ofició el entierro en
297,366,Príncipe (heredero),muerte,falleció,diario,,cuerpo del diario,El 17 falleció cristianamente mi doncel Jorge Zetwiz
298,366,Príncipe (heredero),ceremonia,entierro,diario,,cuerpo del diario,le procuré un digno entierro en la parroquia de San Pedro
299,366,Infante/a,muerte,falleció,diario,,cuerpo del diario,"El 19 falleció el marqués de Sarriá, grande de España, mayordomo mayor"
300,366,Infante/a,muerte,fallecida,diario,,cuerpo del diario,de la princesa fallecida y mi querido señor y buen amigo
301,366,Archiduque/esa,muerte,murió,aparato,,señal aparato: vease,Murió el 21-XI-1582
302,367,Reina (?),muerte,falleció,diario,,cuerpo del diario,"El 1 de agosto falleció el duque de Medinaceli, el mayordomo mayor"
303,367,Reina (?),muerte,falleció,diario,,cuerpo del diario,El 5 falleció mi cuñado el señor Mauricio de Dietrichstein en
304,368,(general / otros),ceremonia,entierro,diario,,cuerpo del diario,A ambos les procuré un entierro honrado y cristiano
305,368,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,"Ese mes también falleció don Andrés Ponce de León, consejero privado del rey"
306,369,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,"Noticias cortesanas, muerte de"
307,369,Don Juan de Austria,muerte,muerte,diario,,cuerpo del diario,Muertes
308,369,Reina Ana de Austria (†1580),muerte,muerte,diario,,cuerpo del diario,Muerte de
309,369,Reina Ana de Austria (†1580),ceremonia,"funeral, funerales",diario,sí,cuerpo del diario,Preparativos para los funerales
310,373,Don Juan de Austria,muerte,falleció,diario,sí,cuerpo del diario,"conde de Chinchón, falleció en el Bosque de Segovia [Valsaín]"
311,373,Reina (?),muerte,falleció,diario,,cuerpo del diario,"varias cuestiones importantes, el 30 falleció la"
312,374,Emperador Maximiliano II (†1576),muerte,fallecimiento,diario,sí,cuerpo del diario,El 16 llegó un correo personal con la terrible noticia del fallecimiento de mi devoto y benignísimo señor Emperador Maximiliano de la más
313,374,Reina (?),ceremonia,pésame,diario,sí,cuerpo del diario,la noche estuve nuevamente de incógnito y largamente con el rey y luego me arreglé para recibir el pésame y las visitas de todas las embajadas
314,374,Emperatriz María (†1603),muerte,muerte,diario,sí,cuerpo del diario,El 6 envié al correo que me trajo la terrible noticia de la muerte del
315,374,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,"El 15 falleció en Madrid Joaquín Operus, presidente holandés365"
316,375,Felipe II (†1598),ceremonia,exequias,diario,,cuerpo del diario,Exequias por
317,375,Emperador Maximiliano II (†1576),muerte,muerte,diario,,cuerpo del diario,Muerte del Nuncio
318,375,Emperador Maximiliano II (†1576),ceremonia,exequias,diario,sí,cuerpo del diario,El 30 comenzaron en Los Jerónimos las exequias en
319,375,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,"La muerte de Maximiliano dejó un par de cuestiones en el aire, para ser objeto de carteo"
320,375,Emperatriz María (†1603),ceremonia,pésame,diario,,cuerpo del diario,el pésame a la Corte Imperial
321,376,Reina (?),ceremonia,"condolencia, condolencias",diario,sí,cuerpo del diario,sus condolencias a S
322,377,Emperador Maximiliano II (†1576),muerte,falleció,diario,sí,cuerpo del diario,"18 falleció el piadoso y santo Nicolás Ormaneta, Nuncio papal"
323,377,Emperador Maximiliano II (†1576),ceremonia,enterrado,diario,sí,cuerpo del diario,Fue enterrado con los teatinos
324,378,Príncipe (heredero),muerte,falleció,diario,sí,cuerpo del diario,"envié a mi mayordomo Juan Hilibrandt a Sevilla a resolver varios asuntos, el 27 falleció el presidente del Consejo Real, que también era obispo de Segovia, llamado [Diego de] Covarrubias"
325,380,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,Muerte de Ruy Gómez
326,380,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,Muerte de Galve
327,380,Príncipe (heredero),muerte,muerte,diario,,cuerpo del diario,asolada por muertes de la Casa de Austria
328,380,Príncipe (heredero),muerte,muerte,diario,,cuerpo del diario,Triste muerte de Sessa
329,380,Príncipe (heredero),ceremonia,"duelo, muerte",diario,,cuerpo del diario,Un duelo con resultado de muerte
330,381,Carlos V,muerte,falleció,diario,sí,cuerpo del diario,"El 12 falleció en Lisboa la reina de Portugal, ya mayor, hermana del Emperador Carlos, llamada doña Catalina"
331,381,Príncipe (heredero),muerte,falleció,diario,sí,cuerpo del diario,"la reina junto con sus hijos, el 19 falleció el príncipe de Melito, consejero"
332,381,Príncipe (heredero),ceremonia,"muerte, pésame",diario,sí,cuerpo del diario,para darle el pésame por la muerte de su marido
333,381,Reina (?),muerte,muerte,diario,sí,cuerpo del diario,«Se ha sentido mucho [la muerte de la Gran Duquesa de Florencia] juntamente con la de la
334,381,Reina (?),ceremonia,luto,aparato,,señal aparato: fol.,"Reina de Portugal, por quien trae luto el Emperador y sus hermanos y los de su Cámara»"
335,382,Reina (?),muerte,falleció,diario,sí,cuerpo del diario,"El 11 falleció el duque Cosme de Florencia, un hombre sabio y entendido, como demostrará la historia con los progresos que él hizo"
336,382,Reina (?),muerte,fallecido,diario,sí,cuerpo del diario,"Pedro de Médicis, el hijo del fallecido duque de Florencia, y el 18 le visité"
337,385,Reina (?),ceremonia,difunto,diario,sí,cuerpo del diario,asuntos del difunto y de su viuda
338,385,Felipe II (†1598),muerte,muerte,diario,sí,cuerpo del diario,"sucedida el día 4 en África, producida por la propia muerte del rey y de"
